Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_03,TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:29:59,09-10-2024 17:30:56,57.610s,PASSED
,,,,,,,
Test Cases/TC_03_Login with incorrect email password,TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:29:59,09-10-2024 17:30:56,57.545s,PASSED
"openBrowser("""")",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:29:59,09-10-2024 17:30:34,35.291s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:34,09-10-2024 17:30:37,2.591s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Signup  Login""))",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:37,09-10-2024 17:30:40,3.207s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_email""), email)",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:40,09-10-2024 17:30:43,3.723s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_password""), password)",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:43,09-10-2024 17:30:48,4.121s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup  Login/button_Login""))",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:48,09-10-2024 17:30:51,3.674s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""))",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:51,09-10-2024 17:30:53,1.767s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""), ""Your email or password is incorrect!"")",TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:53,09-10-2024 17:30:55,1.740s,PASSED
closeBrowser(),TestCloud - macOS - Chrome 130.0.0.0,,,09-10-2024 17:30:55,09-10-2024 17:30:56,1.369s,PASSED
