Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_03,Chrome 129.0.0.0,,,07-10-2024 17:51:19,07-10-2024 17:53:16,1m - 56.984s,PASSED
,,,,,,,
Test Cases/TC_03_Login with incorrect email password,Chrome 129.0.0.0,,,07-10-2024 17:51:20,07-10-2024 17:53:16,1m - 56.683s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,07-10-2024 17:51:20,07-10-2024 17:51:31,11.427s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 129.0.0.0,,,07-10-2024 17:51:31,07-10-2024 17:51:45,13.199s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Signup  Login""))",Chrome 129.0.0.0,,,07-10-2024 17:51:45,07-10-2024 17:51:54,9.889s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_email""), email)",Chrome 129.0.0.0,,,07-10-2024 17:51:54,07-10-2024 17:52:01,6.882s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_password""), password)",Chrome 129.0.0.0,,,07-10-2024 17:52:01,07-10-2024 17:52:06,4.918s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup  Login/button_Login""))",Chrome 129.0.0.0,,,07-10-2024 17:52:06,07-10-2024 17:52:15,8.282s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""))",Chrome 129.0.0.0,,,07-10-2024 17:52:15,07-10-2024 17:52:46,30.950s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""), ""Your email or password is incorrect!"")",Chrome 129.0.0.0,,,07-10-2024 17:52:46,07-10-2024 17:53:16,30.393s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,07-10-2024 17:53:16,07-10-2024 17:53:16,0.284s,PASSED
