Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,Chrome 128.0.0.0,,,10-10-2024 03:43:20,10-10-2024 03:43:30,9.684s,FAILED
,,,,,,,
Test Cases/TC_10_Verify Subscription in home page,Chrome 128.0.0.0,,,10-10-2024 03:43:21,10-10-2024 03:43:30,9.166s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,10-10-2024 03:43:21,10-10-2024 03:43:26,5.205s,PASSED
"navigateToUrl(""https://www.automationexercise.com/"")",Chrome 128.0.0.0,,,10-10-2024 03:43:26,10-10-2024 03:43:30,3.678s,FAILED
