Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
open browser,Chrome 129.0.0.0,,,08-10-2024 09:25:52,08-10-2024 09:25:57,5.324s,PASSED
,,,,,,,
Test Cases/Common Cases/open browser,Chrome 129.0.0.0,,,08-10-2024 09:25:52,08-10-2024 09:25:57,5.271s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,08-10-2024 09:25:52,08-10-2024 09:25:54,2.060s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 129.0.0.0,,,08-10-2024 09:25:54,08-10-2024 09:25:57,3.135s,PASSED
