Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_03,Chrome 129.0.0.0,,,10-10-2024 17:36:41,10-10-2024 17:38:07,1m - 25.987s,PASSED
,,,,,,,
Test Cases/TC_03_Login with incorrect email password,Chrome 129.0.0.0,,,10-10-2024 17:36:41,10-10-2024 17:38:07,1m - 25.794s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,10-10-2024 17:36:41,10-10-2024 17:36:51,10.266s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 129.0.0.0,,,10-10-2024 17:36:51,10-10-2024 17:37:07,15.763s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Signup  Login""))",Chrome 129.0.0.0,,,10-10-2024 17:37:07,10-10-2024 17:37:46,38.813s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_email""), email)",Chrome 129.0.0.0,,,10-10-2024 17:37:46,10-10-2024 17:37:51,4.815s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_password""), password)",Chrome 129.0.0.0,,,10-10-2024 17:37:51,10-10-2024 17:37:56,4.849s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup  Login/button_Login""))",Chrome 129.0.0.0,,,10-10-2024 17:37:56,10-10-2024 17:38:02,5.980s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""))",Chrome 129.0.0.0,,,10-10-2024 17:38:02,10-10-2024 17:38:04,2.827s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""), ""Your email or password is incorrect!"")",Chrome 129.0.0.0,,,10-10-2024 17:38:04,10-10-2024 17:38:06,2.034s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,10-10-2024 17:38:06,10-10-2024 17:38:07,0.260s,PASSED
