Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_03,Chrome 129.0.0.0,,,11-10-2024 21:45:14,11-10-2024 21:45:26,12.057s,PASSED
,,,,,,,
Test Cases/TC_03_Login with incorrect email password,Chrome 129.0.0.0,,,11-10-2024 21:45:14,11-10-2024 21:45:26,11.956s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,11-10-2024 21:45:14,11-10-2024 21:45:16,1.454s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 129.0.0.0,,,11-10-2024 21:45:16,11-10-2024 21:45:19,2.930s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Signup  Login""))",Chrome 129.0.0.0,,,11-10-2024 21:45:19,11-10-2024 21:45:22,2.900s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_email""), email)",Chrome 129.0.0.0,,,11-10-2024 21:45:22,11-10-2024 21:45:23,1.415s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_Login to your account_password""), password)",Chrome 129.0.0.0,,,11-10-2024 21:45:23,11-10-2024 21:45:24,0.499s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup  Login/button_Login""))",Chrome 129.0.0.0,,,11-10-2024 21:45:24,11-10-2024 21:45:25,1.225s,PASSED
"click(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""))",Chrome 129.0.0.0,,,11-10-2024 21:45:25,11-10-2024 21:45:26,1.078s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Automation Exercise - Signup  Login/p_Your email or password is incorrect""), ""Your email or password is incorrect!"")",Chrome 129.0.0.0,,,11-10-2024 21:45:26,11-10-2024 21:45:26,0.239s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 21:45:26,11-10-2024 21:45:26,0.143s,PASSED
,,,,,,,
Test Cases/Common Cases/close browser,Chrome 129.0.0.0,,,11-10-2024 21:45:26,11-10-2024 21:45:26,0.027s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,11-10-2024 21:45:26,11-10-2024 21:45:26,0.004s,PASSED
